t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
1.398000000000000000e+04,3.883333333333333304e+00,4.082097632298528442e-06,2.215267283773718463e-14
1.404000000000000000e+04,3.899999999999999911e+00,7.238831648096975610e-06,2.205626025681660619e-14
1.410000000000000000e+04,3.916666666666666519e+00,1.282731784576096448e-05,2.196023057792663193e-14
1.416000000000000000e+04,3.933333333333333126e+00,2.270874233781611592e-05,2.186462054623782195e-14
1.422000000000000000e+04,3.950000000000000178e+00,4.015352582138254268e-05,2.176943464260863913e-14
1.428000000000000000e+04,3.966666666666666785e+00,7.088894910894780925e-05,2.167463205189766936e-14
1.434000000000000000e+04,3.983333333333333393e+00,1.249004126203311863e-04,2.158017140339690006e-14
1.440000000000000000e+04,4.000000000000000000e+00,2.194973910064811019e-04,2.148604855855759939e-14
1.446000000000000000e+04,4.016666666666666607e+00,3.844648074681330987e-04,2.139227018912249083e-14
1.452000000000000000e+04,4.033333333333333215e+00,6.705698155331489161e-04,2.129878997746913377e-14
1.458000000000000000e+04,4.049999999999999822e+00,1.163282145695150463e-03,2.120547839672196925e-14
1.464000000000000000e+04,4.066666666666666430e+00,2.004204588882387613e-03,2.111213960546465171e-14
1.470000000000000000e+04,4.083333333333333037e+00,3.423111036924631270e-03,2.101850640825366458e-14
1.476000000000000000e+04,4.099999999999999645e+00,5.782959732363500416e-03,2.092414597535434976e-14
1.482000000000000000e+04,4.116666666666666252e+00,9.637423954682439869e-03,2.082828815987379508e-14
1.488000000000000000e+04,4.133333333333333748e+00,1.579332786741683564e-02,2.072963215231275910e-14
1.494000000000000000e+04,4.150000000000000355e+00,2.535717798718355176e-02,2.062613576412303310e-14
1.500000000000000000e+04,4.166666666666666963e+00,3.972693019182291230e-02,2.051472492919857302e-14
1.506000000000000000e+04,4.183333333333333570e+00,6.047519234315226061e-02,2.039090015052246815e-14
1.512000000000000000e+04,4.200000000000000178e+00,8.907618836039024601e-02,2.024837019443294121e-14
1.518000000000000000e+04,4.216666666666666785e+00,1.264802983314912976e-01,2.007899911694779780e-14
1.524000000000000000e+04,4.233333333333333393e+00,1.726441562488555126e-01,1.987340785867384595e-14
1.530000000000000000e+04,4.250000000000000000e+00,2.262299370969918233e-01,1.962249719658388613e-14
1.536000000000000000e+04,4.266666666666666607e+00,2.846841719693037898e-01,1.931991217929836503e-14
1.542000000000000000e+04,4.283333333333333215e+00,3.447327242489400811e-01,1.896495587763947216e-14
1.548000000000000000e+04,4.299999999999999822e+00,4.030916297976920859e-01,1.856478771034344133e-14
1.554000000000000000e+04,4.316666666666666430e+00,4.570903249818517589e-01,1.813448649929449724e-14
1.560000000000000000e+04,4.333333333333333037e+00,5.050022117529217036e-01,1.769435831769835568e-14
1.566000000000000000e+04,4.349999999999999645e+00,5.460620334356036665e-01,1.726543652535397984e-14
1.572000000000000000e+04,4.366666666666666252e+00,5.802769909557261574e-01,1.686516840489137678e-14
1.578000000000000000e+04,4.383333333333333748e+00,6.081640311020013456e-01,1.650492193061805165e-14
1.584000000000000000e+04,4.400000000000000355e+00,6.305070144642040963e-01,1.618968331019077202e-14
1.590000000000000000e+04,4.416666666666666963e+00,6.481757503539257170e-01,1.591927489647465431e-14
1.596000000000000000e+04,4.433333333333333570e+00,6.620118410801253406e-01,1.569013892085154457e-14
1.602000000000000000e+04,4.450000000000000178e+00,6.727685044263114200e-01,1.549699214305438956e-14
1.608000000000000000e+04,4.466666666666666785e+00,6.810872482825702789e-01,1.533404413800174298e-14
1.614000000000000000e+04,4.483333333333333393e+00,6.874965368557959255e-01,1.519574902918209741e-14
1.620000000000000000e+04,4.500000000000000000e+00,6.924217911968576500e-01,1.507718783606686452e-14
1.626000000000000000e+04,4.516666666666666607e+00,6.961999816895094728e-01,1.497420483685233628e-14
1.632000000000000000e+04,4.533333333333333215e+00,6.990949824422487691e-01,1.488340147197861161e-14
1.638000000000000000e+04,4.549999999999999822e+00,7.013117651644387163e-01,1.480205981924421662e-14
1.644000000000000000e+04,4.566666666666666430e+00,7.030086491891975875e-01,1.472803985167013709e-14
1.650000000000000000e+04,4.583333333333333037e+00,7.043074366874110259e-01,1.465967488966267138e-14
1.656000000000000000e+04,4.599999999999999645e+00,7.053015903484259885e-01,1.459567668803878722e-14
1.662000000000000000e+04,4.616666666666666252e+00,7.060627010393333292e-01,1.453505474266542938e-14
1.668000000000000000e+04,4.633333333333333748e+00,7.066455467532226642e-01,1.447705018519592662e-14
1.674000000000000000e+04,4.650000000000000355e+00,7.070920154391856505e-01,1.442108297344030355e-14
1.680000000000000000e+04,4.666666666666666963e+00,7.074341301603919163e-01,1.436671038499135194e-14
1.686000000000000000e+04,4.683333333333333570e+00,7.076963715560342649e-01,1.431359477929500197e-14
1.692000000000000000e+04,4.700000000000000178e+00,7.078974568932911993e-01,1.426147873964914878e-14
1.698000000000000000e+04,4.716666666666666785e+00,7.080517005924124030e-01,1.421016600415128452e-14
1.704000000000000000e+04,4.733333333333333393e+00,7.081700534080943576e-01,1.415950689189713334e-14
1.710000000000000000e+04,4.750000000000000000e+00,7.082608958182377012e-01,1.410938718853437770e-14
1.716000000000000000e+04,4.766666666666666607e+00,7.083306438577512409e-01,1.405971967798595811e-14
